video_id,trending_date,category_id,category,publish_time,views,likes,dislikes,comment_count,ratings_disabled,video_error_or_removed,country
RQMvpa4V2hM,17.14.11,24,Entertainment,2017-11-13T01:00:01.000Z,251933,19078,751,799,False,False,MX
cU2FFwy0eKI,17.14.11,26,Howto & Style,2017-11-13T15:01:45.000Z,14723,2059,24,208,False,False,MX
cTRJYA6dibU,17.14.11,10,Music,2017-11-12T08:30:01.000Z,2529472,56054,1547,3584,False,False,MX
O_jDNNEvvJo,17.14.11,22,People & Blogs,2017-11-13T18:23:39.000Z,8088,118,34,99,False,False,MX
sBmvgi-gd2M,17.14.11,24,Entertainment,2017-11-13T20:00:05.000Z,53340,5266,68,178,False,False,MX
eyskwaltDLs,17.14.11,25,News & Politics,2017-11-13T11:29:54.000Z,18206,227,2,38,False,False,MX
p-EupRWaX9E,17.14.11,24,Entertainment,2017-11-13T17:57:53.000Z,23635,329,164,343,False,False,MX
vawBoPTwFeY,17.14.11,23,Comedy,2017-11-13T19:30:53.000Z,44056,5489,52,244,False,False,MX
Mr2G7PcfXis,17.14.11,24,Entertainment,2017-11-13T09:33:19.000Z,36157,1237,49,52,False,False,MX
9w6dJzxsDD8,17.14.11,22,People & Blogs,2017-11-13T11:30:00.000Z,16437,105,19,5,False,False,MX
